,date,elev,unit,elevft
934,2015-07-24,1278.7200819999841,ft,4195.2758595800005
935,2015-07-25,1278.6956979999843,ft,4195.195859580001
936,2015-07-26,1278.686553999984,ft,4195.16585958
937,2015-07-27,1278.7109379999843,ft,4195.245859580001
938,2015-07-28,1278.6804579999841,ft,4195.14585958
939,2015-07-29,1278.677409999984,ft,4195.13585958
940,2015-07-30,1278.6652179999842,ft,4195.09585958
941,2015-07-31,1278.6652179999842,ft,4195.09585958
942,2015-08-01,1278.6652179999842,ft,4195.09585958
943,2015-08-02,1278.6438819999842,ft,4195.0258595800005
944,2015-08-03,1278.613401999984,ft,4194.92585958
945,2015-08-04,1278.6438819999842,ft,4195.0258595800005
946,2015-08-05,1278.6591219999843,ft,4195.075859580001
947,2015-08-06,1278.637785999984,ft,4195.00585958
948,2015-08-07,1278.6408339999841,ft,4195.01585958
949,2015-08-08,1278.637785999984,ft,4195.00585958
950,2015-08-09,1278.637785999984,ft,4195.00585958
951,2015-08-10,1278.6316899999842,ft,4194.985859580001
952,2015-08-11,1278.610353999984,ft,4194.91585958
953,2015-08-12,1278.6073059999842,ft,4194.905859580001
954,2015-08-13,1278.598161999984,ft,4194.87585958
955,2015-08-14,1278.6042579999842,ft,4194.89585958
956,2015-08-15,1278.6286419999842,ft,4194.97585958
957,2015-08-16,1278.6225459999841,ft,4194.95585958
958,2015-08-17,1278.610353999984,ft,4194.91585958
959,2015-08-18,1278.6042579999842,ft,4194.89585958
960,2015-08-19,1278.5798739999843,ft,4194.8158595800005
961,2015-08-20,1278.5798739999843,ft,4194.8158595800005
962,2015-08-21,1278.5798739999843,ft,4194.8158595800005
963,2015-08-22,1278.5890179999842,ft,4194.84585958
964,2015-08-23,1278.5707299999842,ft,4194.785859580001
965,2015-08-24,1278.5615859999841,ft,4194.75585958
966,2015-08-25,1278.5554899999843,ft,4194.735859580001
967,2015-08-26,1278.5250099999841,ft,4194.63585958
968,2015-08-27,1278.546345999984,ft,4194.70585958
969,2015-08-28,1278.537201999984,ft,4194.67585958
970,2015-08-29,1278.5067219999844,ft,4194.575859580001
971,2015-08-30,1278.5493939999842,ft,4194.71585958
972,2015-08-31,1278.546345999984,ft,4194.70585958
973,2015-09-01,1278.5189139999843,ft,4194.615859580001
974,2015-09-02,1278.4762419999843,ft,4194.47585958
975,2015-09-03,1278.457953999984,ft,4194.41585958
976,2015-09-04,1278.4884339999842,ft,4194.51585958
977,2015-09-05,1278.5189139999843,ft,4194.615859580001
978,2015-09-06,1278.4945299999843,ft,4194.535859580001
979,2015-09-07,1278.4853859999841,ft,4194.50585958
980,2015-09-08,1278.4792899999843,ft,4194.485859580001
981,2015-09-09,1278.470145999984,ft,4194.45585958
982,2015-09-10,1278.470145999984,ft,4194.45585958
983,2015-09-11,1278.470145999984,ft,4194.45585958
984,2015-09-12,1278.4640499999841,ft,4194.43585958
985,2015-09-13,1278.4549059999842,ft,4194.405859580001
986,2015-09-14,1278.421377999984,ft,4194.29585958
987,2015-09-15,1278.421377999984,ft,4194.29585958
988,2015-09-16,1278.4457619999841,ft,4194.37585958
989,2015-09-17,1278.4823379999843,ft,4194.495859580001
990,2015-09-18,1278.4853859999841,ft,4194.50585958
991,2015-09-19,1278.4762419999843,ft,4194.47585958
992,2015-09-20,1278.470145999984,ft,4194.45585958
993,2015-09-21,1278.470145999984,ft,4194.45585958
994,2015-09-22,1278.4762419999843,ft,4194.47585958
995,2015-09-23,1278.470145999984,ft,4194.45585958
996,2015-09-24,1278.4762419999843,ft,4194.47585958
997,2015-09-25,1278.4670979999842,ft,4194.445859580001
998,2015-09-26,1278.4518579999842,ft,4194.39585958
999,2015-09-27,1278.470145999984,ft,4194.45585958
1000,2015-09-28,1278.470145999984,ft,4194.45585958
1001,2015-09-29,1278.457953999984,ft,4194.41585958
1002,2015-09-30,1278.457953999984,ft,4194.41585958
1003,2015-10-01,1278.4640499999841,ft,4194.43585958
1004,2015-10-02,1278.461001999984,ft,4194.42585958
1005,2015-10-03,1278.4670979999842,ft,4194.445859580001
1006,2015-10-04,1278.4792899999843,ft,4194.485859580001
1007,2015-10-05,1278.4640499999841,ft,4194.43585958
1008,2015-10-06,1278.4640499999841,ft,4194.43585958
1009,2015-10-07,1278.470145999984,ft,4194.45585958
1010,2015-10-08,1278.473193999984,ft,4194.46585958
1011,2015-10-09,1278.461001999984,ft,4194.42585958
